property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score,area_room_ratio
flat,conscient one,sector 109,1.7,17616.58031088083,965.0,Built Up area: 965 (89.65 sq.m.)Carpet area: 628 sq.ft. (58.34 sq.m.),1.0,1.0,2,9.0,not available,Undefined,,965.0,628.0,0,0,0,0,0,1,0,965.0
flat,pareena laxmi apartments,sector 99,0.32,6106.8702290076335,524.0,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),2.0,2.0,2,2.0,not available,New Property,524.0,,424.8,0,0,0,0,0,1,50,262.0
flat,pyramid elite,sector 86,0.45,7745.26678141136,581.0,Carpet area: 581.41 (54.01 sq.m.),2.0,2.0,1,4.0,not available,Undefined,,,581.41,0,0,0,0,0,1,66,290.5
flat,raheja revanta,sector 78,1.2,10016.69449081803,1198.0,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1.0,2.0,2,32.0,not available,Under Construction,1197.0,,505.0,0,0,0,0,0,1,39,1198.0
flat,m3m skycity,sector 65,2.1,16030.534351145037,1310.0,Super Built up area 1310(121.7 sq.m.),2.0,2.0,2,43.0,not available,New Property,1310.0,,,0,0,0,0,0,1,127,655.0
flat,not applicable,sector 4,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2.0,2.0,1,3.0,not available,Relatively New,,,750.0,0,0,0,0,0,0,26,375.0
flat,godrej nature plus,sector 33,1.55,9955.041746949262,1557.0,Carpet area: 1557 (144.65 sq.m.),3.0,2.0,3+,8.0,East,New Property,,,1557.0,0,0,0,0,0,1,43,519.0
flat,ramprastha city,dwarka expressway,1.3,9027.777777777777,1440.0,Super Built up area 1440(133.78 sq.m.),3.0,3.0,2,3.0,not available,Under Construction,1440.0,,,0,0,0,0,0,1,0,480.0
flat,smartworld 1dxp,sector 113,2.75,10589.14131690412,2597.0,Carpet area: 2597 (241.27 sq.m.),4.0,4.0,3+,20.0,East,Undefined,,,2597.0,0,0,1,0,0,2,57,649.25
flat,ansal housing highland park,sector 103,1.25,6443.298969072165,1940.0,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3.0,3.0,3+,2.0,North-East,New Property,1940.0,,1056.0,0,0,1,0,0,1,105,646.6666666666666
flat,czar mahira homes 63a,sector 63,0.42,7407.407407407408,567.0,Carpet area: 567 (52.68 sq.m.),3.0,2.0,2,1.0,not available,Undefined,,,567.0,0,0,0,0,0,1,0,189.0
flat,breez global heights,sohna road,0.4,6420.545746388443,623.0,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2.0,2.0,1,4.0,North-East,New Property,623.0,,599.0,0,0,0,0,0,1,49,311.5
flat,trisara our homes 3,sohna road,0.34,5405.405405405405,629.0,Carpet area: 629 (58.44 sq.m.),2.0,2.0,1,0.0,not available,New Property,,,629.0,0,0,0,0,0,1,0,314.5
flat,m3m soulitude,sector 89,1.25,8784.258608573437,1423.0,Super Built up area 1423(132.2 sq.m.),3.0,3.0,3,3.0,East,New Property,1423.0,,,0,0,0,0,1,1,61,474.3333333333333
flat,emaar mgf palm hills,sector 77,1.5,12744.26508071368,1177.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3.0,3.0,3,4.0,North-East,Relatively New,1450.0,,1177.0,0,0,0,0,0,0,97,392.3333333333333
flat,ramprastha city,dwarka expressway,1.3,9285.714285714286,1400.0,Super Built up area 1400(130.06 sq.m.),3.0,3.0,2,3.0,not available,Under Construction,1400.0,,,0,0,0,0,0,1,0,466.6666666666667
flat,pareena coban residences,sector 99,1.6,8000.0,2000.0,Super Built up area 2000(185.81 sq.m.),3.0,3.0,3,6.0,not available,Under Construction,2000.0,,,0,0,0,0,0,1,0,666.6666666666666
flat,la vida by tata housing,sector 113,1.5,11755.485893416928,1276.0,Carpet area: 1276 (118.54 sq.m.),2.0,2.0,2,13.0,not available,New Property,,,1276.0,0,0,0,0,0,1,71,638.0
flat,la vida by tata housing,sector 113,1.5,11755.485893416928,1276.0,Super Built up area 1276(118.54 sq.m.),2.0,2.0,2,13.0,not available,New Property,1276.0,,,0,0,0,0,0,1,60,638.0
